season,deployment_date,retrieval_date,hours,days,camera_id,site,site_name,condition,doy,dayofstudy,month,date,timeofday,time.of.day,hour,year,day.night,temperature,temperature.c,Otter.detected,numberofOtter
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,164,164,June,6/13/2012,4:51:00,0.202083333,4,2012,day,36,2.222222222,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,165,165,June,6/14/2012,3:57:00,3.95,3,2012,night,41,5,Y,1
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,166,166,June,6/15/2012,2:59:00,2.983333333,2,2012,night,36,2.222222222,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,166,166,June,6/15/2012,14:56:00,14.93333333,14,2012,day,50,10,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,166,166,June,6/16/2012,22:58:00,22.96666667,22,2012,night,37,2.777777778,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,167,167,June,6/19/2012,4:59:00,4.983333333,4,2012,night,28,-2.222222222,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,170,170,June,6/19/2012,1:03:00,1.05,1,2012,night,43,6.111111111,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,170,170,June,6/20/2012,14:26:00,14.43333333,14,2012,day,68,20,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,171,171,June,6/20/2012,5:30:00,5.5,5,2012,day,39,3.888888889,Y,3
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,171,171,June,6/20/2012,5:52:00,5.866666667,5,2012,day,39,3.888888889,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,171,171,June,6/20/2012,6:06:00,6.1,6,2012,day,39,3.888888889,Y,1
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,171,171,June,6/21/2012,9:24:00,9.4,9,2012,day,59,15,Y,3
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,172,172,June,6/21/2012,3:34:00,3.566666667,3,2012,night,41,5,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,172,172,June,6/23/2012,15:17:00,15.28333333,15,2012,day,55,12.77777778,Y,3
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,174,174,June,6/23/2012,4:39:00,4.65,4,2012,day,36,2.222222222,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,174,174,June,6/23/2012,18:28:00,18.46666667,18,2012,day,55,12.77777778,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,174,174,June,6/26/2012,18:46:00,18.76666667,18,2012,day,55,12.77777778,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,177,177,June,6/26/2012,5:41:00,5.683333333,5,2012,day,45,7.222222222,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,177,177,June,6/26/2012,6:40:00,6.666666667,6,2012,day,45,7.222222222,Y,1
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,177,177,June,6/27/2012,10:05:00,10.08333333,10,2012,day,55,12.77777778,Y,3
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,178,178,June,6/27/2012,6:35:00,6.583333333,6,2012,day,48,8.888888889,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,178,178,June,6/27/2012,13:58:00,13.96666667,13,2012,day,63,17.22222222,Y,4
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,180,180,June,6/29/2012,1:48:00,1.8,1,2012,night,50,10,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,180,180,June,6/29/2012,1:55:00,1.916666667,1,2012,night,50,10,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,180,180,June,6/29/2012,2:00:00,2,2,2012,night,50,10,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,180,180,June,6/29/2012,5:57:00,5.95,5,2012,day,48,8.888888889,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,180,180,June,6/29/2012,5:58:00,5.966666667,5,2012,day,52,11.11111111,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,180,180,June,6/30/2012,6:09:00,6.15,6,2012,day,50,10,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,181,181,June,6/30/2012,21:44:00,21.73333333,21,2012,night,46,7.777777778,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,181,181,June,1/7/2012,2:34:00,2.566666667,2,2012,night,48,8.888888889,Y,3
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,182,182,July,1/7/2012,2:36:00,2.6,2,2012,night,50,10,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,182,182,July,3/7/2012,22:01:00,22.01666667,22,2012,night,52,11.11111111,Y,4
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,184,184,July,5/7/2012,0:51:00,0.85,0,2012,night,50,10,Y,1
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,186,186,July,5/7/2012,1:02:00,1.033333333,1,2012,night,48,8.888888889,Y,1
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,186,186,July,5/7/2012,1:03:00,1.05,1,2012,night,50,10,Y,4
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,186,186,July,5/7/2012,5:05:00,5.083333333,5,2012,day,46,7.777777778,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,186,186,July,7/7/2012,23:03:00,23.05,23,2012,night,52,11.11111111,Y,2
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,188,188,July,9/7/2012,6:02:00,6.033333333,6,2012,day,52,11.11111111,Y,4
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,190,190,July,9/7/2012,15:25:00,15.41666667,15,2012,day,61,16.11111111,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,190,190,July,9/7/2012,15:28:00,15.46666667,15,2012,day,63,17.22222222,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,190,190,July,9/7/2012,15:35:00,15.58333333,15,2012,day,63,17.22222222,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,190,190,July,10/7/2012,15:38:00,15.63333333,15,2012,day,64,17.77777778,N,0
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,191,191,July,10/7/2012,2:52:00,2.866666667,2,2012,night,43,6.111111111,Y,3
early.summer,June 6th 12,July 11th 12,888,37,CHU7,7,Clode sound,unlogged,191,191,July,10/7/2012,3:28:00,3.466666667,3,2012,night,43,6.111111111,Y,3
