"","site.name","droad","dcabin","treeheight","dlogging","dstreammouth","dfreshwater","foragearea.buffer","dforagearea","site.location","latrine.present","disturbance.area","site.name.original","lat.pres"
"1","AB1",1325.6,86.83,3,1359.1,391.12,391.12,"N/A",NA,"Alexander Bay","Y","Y","SS1",1
"2","AB2",1228.4,141.61,4,1568.22,51.69,51.69,"N/A",NA,"Alexander Bay","Y","Y","SS2",1
"3","AB3",1635.3,151.61,5,1977.32,480.11,480.11,"N/A",NA,"Alexander Bay","Y","Y","SS3",1
"4","AB4",1850.74,490.93,5,2199.73,789.12,637.53,"N/A",NA,"Alexander Bay","Y","Y","SS4",1
"5","AB6",2370.1,829.81,4,2691.79,1145.27,797.43,"N/A",NA,"Alexander Bay","Y","Y","SS6",1
"6","AB7",2832.48,307.11,4,3140.24,745.71,658.83,"N/A",NA,"Alexander Bay","Y","Y","SS7",1
"7","AB8",3290.13,294.23,4,3569.75,371.68,371.68,"N/A",NA,"Alexander Bay","Y","Y","SS8",1
"8","AB9",3304.25,440.3,3,3577.24,297.32,297.32,"N/A",NA,"Alexander Bay","Y","Y","SS9",1
"9","AB10",3073.85,583.59,3,3329.38,166.15,166.15,"N/A",NA,"Alexander Bay","Y","Y","SS10",1
"10","AB11",2657.06,950.69,4,2884.51,592.41,468.16,"N/A",NA,"Alexander Bay","Y","Y","SS11",1
"11","AB12",2052.9,538.89,4,2262.68,1127.56,652.98,"N/A",NA,"Alexander Bay","Y","Y","SS12",1
"12","AB13",1574.13,127.2,3,1687.86,1926.06,586.13,"N/A",NA,"Alexander Bay","Y","Y","SS13",1
"13","AB14",1678.5,529.27,4,1782.83,1788.28,600.71,"N/A",NA,"Alexander Bay","Y","Y","SS14",1
"14","AB15",1850.23,297.3,4,2030.7,1431.14,737.18,"N/A",NA,"Alexander Bay","Y","Y","SS15",1
"15","AB16",1625.54,226.23,2,1687.91,2139.67,772.16,"N/A",NA,"Alexander Bay","Y","Y","SS16",1
"16","AB17",1328.02,633.12,3,1169.19,2084.97,938.8,"N/A",NA,"Alexander Bay","Y","Y","SS17",1
